questionsAnswered,correct answers,timeSpent,halfCorrect,reversed,questionsSkipped,answerChanges,flaggedQuestions,label
24,9,20.35,1,5,20,2,2,très faible
24,21,23.45,2,0,7,5,1,faible
26,14,21.72,7,1,9,0,2,faible
22,20,19.04,0,0,5,0,1,faible
37,6,20.56,9,4,16,0,3,très faible
28,11,20.64,3,4,5,3,4,très faible
18,10,15.61,6,0,8,4,4,très faible
28,26,14.14,1,0,10,1,2,faible
35,8,19.11,1,2,13,0,4,très faible
38,25,18.88,8,1,3,0,2,moyen
10,4,15.21,2,0,13,3,1,très faible
16,12,14.12,4,0,5,4,5,très faible
20,0,15.88,3,5,4,4,4,très faible
40,16,22.18,10,5,10,4,5,faible
16,13,12.2,1,2,17,3,4,très faible
41,20,12.46,1,5,12,1,2,faible
41,27,18.2,8,5,14,4,0,moyen
30,16,20.27,3,5,12,2,2,faible
30,29,17.93,0,1,12,1,3,moyen
29,11,14.91,5,2,1,5,3,très faible
10,8,17.23,0,2,20,6,4,très faible
31,9,18.77,10,2,7,6,1,très faible
25,2,15.58,8,1,19,2,0,très faible
20,13,24.37,2,0,11,0,1,faible
43,9,12.1,5,3,10,6,4,très faible
44,21,13.46,7,4,1,2,5,faible
15,11,22.8,1,3,20,1,0,très faible
16,11,19.31,0,5,6,3,5,très faible
35,25,17.47,5,4,6,6,3,moyen
19,13,24.19,3,2,2,2,1,très faible
44,37,22.95,0,5,10,6,5,moyen
44,3,18.04,4,5,16,2,1,très faible
20,18,15.7,1,1,3,2,5,faible
10,10,17.45,0,0,9,3,0,très faible
43,11,13.3,4,4,19,0,3,très faible
31,3,24.49,3,0,7,4,2,très faible
44,3,19.63,4,2,8,5,4,très faible
39,23,14.46,6,4,10,3,3,faible
44,44,24.48,0,0,18,1,5,fort
26,24,24.45,2,0,17,6,1,faible
28,4,23.87,10,3,3,6,2,très faible
33,8,16.99,9,2,17,4,1,très faible
21,10,15.47,4,1,17,5,3,faible
36,18,16.96,4,3,11,6,5,faible
11,8,17.8,0,0,20,0,5,très faible
11,3,19.35,4,3,15,3,4,très faible
43,37,20.66,3,2,9,0,0,moyen
25,9,22.42,6,5,18,2,0,très faible
30,25,12.44,3,1,2,6,1,moyen
43,25,24.13,6,3,14,1,2,faible
